ID       tempo [s]   posicao x [m]   posicao y [m]
 0    0.0000000000    0.0000000000  700.0000000000
 1    0.5976143479   49.8011970520  698.2500000000
 2    1.1952286959   99.6023941040  693.0000000000
 3    1.7928431034  149.4035949707  684.2500000000
 4    2.3904573917  199.2047882080  672.0000000000
 5    2.9880716801  249.0059814453  656.2500000000
 6    3.5856862068  298.8071899414  637.0000000000
 7    4.1833004951  348.6083984375  614.2500000000
 8    4.7809147835  398.4095764160  588.0000000000
 9    5.3785290718  448.2107849121  558.2500000000
10    5.9761433601  498.0119628906  525.0000000000
11    6.5737576485  547.8131713867  488.2499694824
12    7.1713724136  597.6143798828  447.9999389648
13    7.7689867020  647.4155883789  404.2499389648
14    8.3666009903  697.2167968750  356.9999084473
15    8.9642152786  747.0179443359  306.2499389648
16    9.5618295670  796.8191528320  251.9999389648
17   10.1594438553  846.6203613281  194.2499084473
18   10.7570581436  896.4215698242  132.9999389648
19   11.3546724319  946.2227172852   68.2498779297
20   11.9522867203  996.0239257812   -0.0001220703
