    Velocidade         Tempo
  9.7596101761  0.0511247441
  9.5393915176  0.1022494882
  9.3407707214  0.1533742398
  9.1651506424  0.2044989765
  9.0138778687  0.2556237280
  8.8881940842  0.3067484796
  8.7891979218  0.3578732312
  8.7177972794  0.4089979529
  8.6746749878  0.4601227343
  8.6602535248  0.5112474561
  8.6746749878  0.5623722076
  8.7177972794  0.6134969592
  8.7891979218  0.6646217108
  8.8881940842  0.7157464623
  9.0138778687  0.7668711543
  9.1651506424  0.8179959059
  9.3407707214  0.8691207170
  9.5393915176  0.9202454686
  9.7596101761  0.9713701010
 10.0000000000  1.0224949121
