     Velocidade          Tempo
   9.0000000000   0.1022494882
   8.0000000000   0.2044989765
   7.0000000000   0.3067484796
   6.0000000000   0.4089979529
   5.0000000000   0.5112474561
   4.0000000000   0.6134969592
   3.0000000000   0.7157464623
   2.0000004768   0.8179959059
   1.0000000000   0.9202454686
   0.0000004371   1.0224949121
   1.0000000000   1.1247444153
   2.0000000000   1.2269939184
   3.0000000000   1.3292434216
   4.0000000000   1.4314929247
   4.9999990463   1.5337423086
   5.9999990463   1.6359918118
   7.0000000000   1.7382414341
   8.0000000000   1.8404909372
   8.9999980927   1.9427402020
  10.0000000000   2.0449898243
